Year;Quarter;Month;Day
2010;Q2 2010;May 2010;May 12,2010
2010;Q2 2010;May 2010;May 13,2010
2010;Q2 2010;May 2010;May 14,2010
2010;Q2 2010;May 2010;May 15,2010
2010;Q2 2010;May 2010;May 16,2010
2010;Q2 2010;May 2010;May 17,2010
2010;Q2 2010;May 2010;May 18,2010
2010;Q2 2010;May 2010;May 19,2010
2010;Q2 2010;May 2010;May 20,2010
2010;Q2 2010;May 2010;May 21,2010


2011;Q2 2011;May 2011;May 16,2011
2011;Q2 2011;May 2011;May 17,2011
2011;Q2 2011;May 2011;May 18,2011
2011;Q2 2011;May 2011;May 20,2011
2011;Q2 2011;May 2011;May 21,2011


2012;Q2 2012;May 2012;May 16,2012
2012;Q2 2012;May 2012;May 17,2012
2012;Q2 2012;May 2012;May 18,2012

2013;Q2 2013;May 2013;May 19,2013
2013;Q2 2013;May 2013;May 20,2013
2013;Q2 2013;May 2013;May 21,2013

2014;Q2 2014;May 2014;May 19,2014